,Premises - NL,Conclusions - NL,Truth Values,Premises - FOL,Conclusions - FOL,Comments,Verified by Prover
434,"All students who registered for the conference are invited to attend it.
All students who attend in-person have registered for the conference. 
Students attend the conference either in-person or remotely. 
None of the students in China attend the conference remotely. 
James neither attended the conference remotely, nor presented at the conference. 
Jack is a student; he is either in China or he registered for the conference.","James is a student in China. 
James is not a student in China. 
Jack is invited to attend the conference, or he will present at the conference. 
Either Jack is invited to attend the conference or James will present at the conference. 
It is not true that Jack registered for the conference and James is invited to attend the conference.","U
U
T
T
F","∀x ((Student(x) ∧ RegisteredFor(x, conference)) → InvitedToAttend(x, conference))
∀x ((Student(x) ∧ AttendInPerson(x, conference)) → RegisteredFor(x, conference))
∀x (Student(x) → (AttendInPerson(x, conference) ⊕ AttendRemotely(x, conference)))
∀x (Student(x) ∧ In(x, china) → (¬AttendRemotely(x, theConference)))
Student(james) ∧ (¬AttendRemotely(james, conference) ∧ ¬PresentedAt(james, conference))
Student(jack) ∧ (In(jack, china) ⊕ RegisteredFor(jack, conference))","Student(james) ∧ In(james, china)
¬(Student(james)) ∧ In(james, china)
InvitedToAttend(jack, conference) ∨ PresentedAt(jack, conference)
InvitedToAttend(jack, conference) ⊕ PresentedAt(jack, conference)
¬(RegisteredFor(jack, conference) ∧ InvitedToAttend(james, conference))",,
435,"None of the students who currently work in the library are from the computer science department. 
All of the students with part-time jobs offered by the university currently work in the library. 
All of the students who are taking the database course are from the computer science department. 
All of the students taking a class with Professor David are taking the database course. 
All students working in the lab are taking a class with Professor David.
James is a student working in the lab. 
James doesn't work in the lab or have a part-time job offered by the university.","James has a part-time job offered by the university. 
James does not have a part-time job offered by the university. 
James either takes the database course or has a part-time job offered by the university. 
James takes the database course. ","F
T
T
U","∀x (Student(x) ∧ WorkIn(x, library) → (¬From(x, computerScienceDepartment)))
∀x (Student(x) ∧ Have(x, partTimeJob) ∧ OfferedBy(y, university) → WorkIn(x, library))
∀x ((Student(x) ∧ Take(x, databaseCourse)) → From(x, computerScienceDepartment))
∀x ((Student(x) ∧ InstructedBy(x, professorDavid)) → Take(x, databaseCourse))
∀x ((Student(x) ∧ WorkIn(x, lab)) → InstructedBy(x, professorDavid))
Student(james) ∧ WorkIn(james, lab)
¬∃x (PartTimeJob(x) ∧ Have(james, x) ∧ OfferedBy(x, computerScienceDepartment)) ∧ ¬WorkIn(james, lab)","∃y (PartTimeJob(y) ∧ Have(james, y) ∧ OfferedBy(y, university))
¬∃y(PartTimeJob(y) ∧ Have(james, y) ∧ OfferedBy(y, university))
Take(james, databaseCourse) ⊕ (∃y (PartTimeJob(y) ∧ Have(james, y) ∧ OfferedBy(y, university))
Take(james, databaseCourse)",,
436,"All of this brand's products are either produced in China or in the US. 
All of this brand's products produced in China are labeled. 
All of this brand's products produced in the US are sold in the US. 
The products of this brand that are labeled are cheaper.
All of this brand's products sold in the US are sold at Walmart. 
All products of this brand displayed on the homepage are sold at Walmart. 
None of this brand's products that are returned by customers are sold at Walmart. 
G-910 is a product of this brand, and it is either displayed on the homepage and is cheaper, or it is neither displayed on the homepage nor is it cheaper.","G-910 is displayed on the homepage. 
G-910 is not displayed on the homepage. 
G-910 is a product returned by customers. 
G-910 is a product returned by customers or sold in Walmart. 
G-910 is either returned by customers or sold in Walmart.","U
U
F
T
T","∀x (ThisBrand(x) ∧ Product(x) → (ProducedIn(x, china) ⊕ ProducedIn(x, uS)))
∀x ((ThisBrand(x) ∧ Product(x) ∧ ProducedIn(x, china)) → Labeled(x))
∀x ((ThisBrand(x) ∧ Product(x) ∧ ProducedIn(x, us)) → SoldIn(x, us))
∀x ((ThisBrand(x) ∧ Product(x) ∧ Labeled(x)) → Cheaper(x))
∀x ((ThisBrand(x) ∧ Product(x) ∧ SoldIn(x, us)) → SoldIn(x, walmart))
∀x (ThisBrand(x) ∧ Product(x) ∧ DisplayedIn(x, homepage) → SoldIn(x, walmart))
∀x (ThisBrand(x) ∧ Product(x) ∧ ReturnedBy(x, customer) → ¬SoldIn(x, walmart))
Product(g910) ∧ ThisBrand(g910) ∧ (¬(DisplayedIn(g910, homepage) ⊕ Cheaper(g910)))","DisplayedIn(g910, homepage)
¬DisplayedIn(g910, homepage)
ThisBrand(g910) ∧ ReturnedBy(g910, customer)
ThisBrand(g910) ∧ (ReturnedBy(g910, customer) ∨ SoldIn(g910, walmart))
ReturnedBy(g910, customer) ⊕ SoldIn(g910, walmart)",,
437,"Researchers present their work at the conference or provide a tutorial session there.
Everyone who presents their work at the conference will attend in person. 
Everyone providing a tutorial session at the conference will be invited to join the club. 
Everyone who attends the conference in person is provided with souvenirs. 
Everyone invited to join the club is provided with delicious meals. 
Everyone provided with delicious meals is happy to communicate with each other during the dinner. 
Everyone who is provided with delicious meals is invited to take a photo with the audience. 
It is not true that James both attended the conference in person and was provided with souvenirs.","James is provided with souvenirs. 
James is not provided with souvenirs. 
James is invited to take a photo with the audience and is happy to communicate with other guests at the dinner.
James is invited to take a photo with the audience or is happy to communicate with other guests(?) during the dinner. 
James is either invited to take a photo with the audience or happy to communicate with other guests(?) during the dinner. ","U
U
T
T
F","∀x (PresentWorkAt(x, conference) ⊕ ProvideAt(x, tutorialSession, conference))
∀x (PresentWorkAt(x, conference) → AttendInPerson(x, conference))
∀x (ProvideSessionAt(x, tutorial, conference) → InvitedToJoin(x, club))
∀x (AttendInPerson(x, conference) → ProvidedWith(x, souvenir))
∀x (InvitedToJoin(x, club) → ProvidedWith(x, deliciousMeal))
∀x (ProvidedWith(x, deliciousMeal) ∧ ProvidedWith(y, deliciousMeal)  → ∃y ∃z (¬(y=x) ∧ ¬(z=x) ∧ ¬(y=z) ∧ HappyToCommunicateWithDuringTheDinner(x, y) ∧ HappyToCommunicateWithDuringTheDinner(x, z)))
∀x (ProvidedWith(x, deliciousMeal) → InvitedToTakePhotoWith(x, audience))
¬(AttendInPerson(james, conference) ∧ ProvidedWith(x, souvenir))","ProvidedWith(james, souvenir)
¬ProvidedWith(x, souvenir)
InvitedToTakePhotoWith(james, audience) → ∃y ∃z (¬(y=james) ∧ ¬(z=james) ∧ ¬(y=z) ∧ HappyToCommunicateWithDuringTheDinner(james, y) ∧ HappyToCommunicateWithDuringDinner(james, z)))
InvitedToTakePhotoWith(james, audience) → ∃y ∃z (¬(y=james) ∧ ¬(z=james) ∧ ¬(y=z) ∧ HappyToCommunicateWithDuringTheDinner(james, y) ∧ HappyToCommunicateWithDuringDinner(james, z)))
InvitedToTakePhotoWith(james, audience) → ∃y ∃z (¬(y=james) ∧ ¬(z=james) ∧ ¬(y=z) ∧ HappyToCommunicateWithDuringTheDinner(james, y) ∧ HappyToCommunicateWithDuringDinner(james, z)))",,
438,"None of the kids in our family love the opera.
All of the adults in our family love the opera.
If someone in our family is a scientist, then they are an adult.
Some students in our family are kids.
Billy is a kid in our family.","Billy is a student.
Billy is a student and a scientist.
If Billy is a student or a scientist, then Billy is a student and a kid.","U
F
T","∀x ((Kid(x) ∧ In(x, ourFamily)) → ¬Love(x, opera))
∀x ((Adult(x) ∧ In(x, ourFamily)) → Love(x, opera))
∀x ((Scientist(x) ∧ In(x, ourFamily)) → Adult(x))
∃x (Student(x) ∧ In(x, ourFamily) ∧ Kid(x))
Kid(billy) ∧ In(billy, ourFamily) ","Student(billy)
Student(billy)  ∧ Scientist(billy)
(Student(billy) ∨ Scientist(billy)) → (Student(billy) ∧ Kid(billy))",,
439,"No fish are birds.
An osprey is a bird.
A carp is a fish.
All goldfish are carp.
If Bubbles is either an osprey or a goldfish, then Bubbles is not also a fish.","Bubbles is an Osprey.
Bubbles is a goldfish.
Bubbles is not a goldfish.","U
F
T","∀x (Fish(x) → ¬Bird(x))
∀x (Osprey(x) → Bird(x))
∀x (Carp(x) → Fish(x))
∀x (Goldfish(x) → Carp(x))
Osprey(bubbles) ⊕ Goldfish(bubbles) → ¬Fish(bubbles)","Osprey(bubbles)
Goldfish(bubbles)
¬Goldfish(bubbles)",,
440,"All tigers are cats.
No cats are dogs.
All Bengal tigers are tigers.
All huskies are dogs.
Fido is either a Bengal tiger or a cat.","Fido is a husky animal.
Fido is not a husky.
Fido is a Bengal tiger.
Fido is neither a dog nor a husky.","F
T
U
T","∀x (Tiger(x) → Cat(x))
∀x (Cat(x) → ¬Dog(x))
∀x (BengalTiger(x) → Tiger(x))
∀x (Husky(x) → Dog(x))
BengalTiger(fido) ⊕ Cat(fido)","Husky(fido)
¬Husky(fido)
BengalTiger(fido)
¬Dog(fido) ∧ ¬Husky(fido)",,
441,"No one nice to animals is also mean to animals.
Some grumpy people are mean to animals.
All animal lovers are nice to animals.
All pet owners love animals.
Tom is a pet owner.","Tom is a grumpy person.
Tom is not both a grumpy person and mean to animals.
If Tom is not both a grumpy person and mean to animals, then Tom is neither a grumpy person nor an animal lover.","U
T
F","∀x (NiceTo(x, animal) → ¬MeanTo(x, animal))
∃x (Grumpy(x) ∧ MeanTo(x, animal))
∀x (AnimalLover(x) → NiceTo(x, animal))
∀x (PetOwner(x) → AnimalLover(x))
PetOwner(tom)","Grumpy(tom)
¬(Grumpy(tom) ∧ MeanTo(tom, animal))
¬(Grumpy(tom) ∧ MeanTo(tom, animal)) → ¬Grumpy(tom) ∧ ¬AnimalLover(tom))",,
442,"All Brown Swiss cattle are cows.
Some pets are Brown Swiss Cattle.
All cows are domesticated animals.
Alligators are not domesticated animals.
Ted is an alligator.","Ted is a pet.
Ted is a pet and Brown Swiss cattle
If Ted is a Brown Swiss cattle, then Ted is not a pet.","U
F
T","∀x (BrownSwissCattle(x) → Cow(x))
∃x (Pet(x) ∧ BrownSwissCattle(x))
∀x (Cow(x) → DomesticatedAnimal(x))
∀x (Aligator(x) → ¬DomesticatedAnimal(x))
Aligator(ted)","Pet(ted)
Pet(ted) ∧ BrownSwissCattle(ted)
BrownSwissCattle(ted) → ¬Pet(ted)",,
443,"Some teachers who work at pools are not nice.
All teachers working at pools are pool managers.
All pool managers are lifeguards.
If someone is a lifeguard, then they work at a pool.
Mary does not work at a pool.","Mary is nice.
Mary is not a nice teacher working at a pool.
Mary is is a nice teacher working at a pool.","U
T
F","∃x (Teacher(x) ∧ WorkAt(x, pool) ∧ ¬Nice(x))
∀x (Teacher(x) ∧ WorkAt(x, pool) → PoolManager(x))
∀x (PoolManager(x) → Lifeguard(x))
∀x (Lifeguard(x) → WorkAt(x, pool))
¬WorkAt(mary, pool)","Nice(mary)
¬(Nice(mary) ∧ Teacher(mary) ∧ WorkAt(mary, pool))
Nice(mary) ∧ Teacher(mary) ∧ WorkAt(mary, pool)",,
444,"All birds have wings.
Animals with wings aren't reptiles.
Some animals that fly are birds.
If something is an iguana, then it is a reptile. Simeng: All iguanas are reptiles. 
John is either both an iguana and a bird, or he is neither. 
John is an animal. ","John is a reptile.
John is not both an iguana and an animal that can fly.
John is an animal that can fly and John is a bird.","U
T
F","∀x (Bird(x) → ∃y ∃z (¬(y=z) ∧ Wing(y) ∧ Wing(z) ∧ Have(x, y) ∧ Have(x, z)))
∀x (Animal(x) ∧ (∃y ∃z (¬(y=z) ∧ Wing(y) ∧ Wing(z) ∧ Have(x, y) ∧ Have(x, z))) → ¬Reptile(x))
∃x (Animal(x) ∧ Fly(x) ∧ Bird(x))
∀x (Iguana(x) → Reptile(x))
¬(Iguana(john) ⊕ Bird(john))
Animal(john)","Reptile(john)
¬(Iguana(john) ∧ Fly(john))
Animal(john) ∧ Fly(john) ∧ Bird(john)",,
445,"Anything lazy is unproductive.
No one unproductive is energetic.
If something is a sloth, then it is lazy.
Some animals are sloths.
Sid is neither an energetic person nor a sloth.","Sid is an animal.
Sid is an energetic person and an animal.
If Sid is either an animal or unproductive, then Sid is not an energetic person.","U
F
T","∀x (Lazy(x) → Unproductive(x))
∀x (Unproductive(x) → ¬Energetic(x))
∀x (Sloth(x) → Lazy(x))
∃x (Animal(x) ∧ Sloth(x))
¬Energetic(sid) ∧ ¬Sloth(sid))","Animal(sid)
Energetic(sid) ∧ Animal(sid)
Animal(sid) ⊕ Unproductive(sid)) → ¬Energetic(sid)",,
446,"If something is a plant, then it is not a cute animal. Simeng: All plants are not cute animals. 
All flowers are plants.
Every kitten is a cute animal.
If something is grown in a garden, then it is a flower.
Piper is a kitten or a cute animal.","Piper was grown in a garden.
Piper was not grown in a garden.
Piper is a kitten.","F
T
U","∀x (Plant(x) → ¬CuteAnimal(x))
∀x (Flower(x) → Plant(x))
∀x (Kitten(x) → CuteAnimal(x))
∀x (GrownIn(x, garden) → Flower(x))
Kitten(piper) ∨ CuteAnimal(piper)","GrownIn(piper, garden)
¬GrownIn(piper, garden)
Kitten(piper)",,
447,"No planet in the solar system relies on nuclear fusion to generate light.
All stars in the solar system rely on nuclear fusion to generate light. 
All celestial bodies in the solar systems that have greater than 0.08 solar masses are stars. 
If a celestial body in the solar system has cleared its orbit of other debris and has a nearly spherical shape due to its own gravity, then it is a planet.
If Europa is a celestial body in the solar system that has cleared its orbit of other debris and has a nearly spherical shape due to its own gravity or relies on nuclear fusion to generate light, then Europa is a celestial body in the solar system. ","Europa is a celestial body in the solar system has cleared its orbit of other debris and has a nearly spherical shape due to its own gravity.
Europa is a celestial body in one of the solar systems that have greater than 0.08 solar masses.
Europa is not a celestial body in one of the solar systems that have greater than 0.08 solar masses.","U
F
T","∀x (Planet(x) ∧ In(x, solarSystem) → ¬RelyOnToGenerate(x, nuclearFusion, light))
∀x (Star(x) ∧ In(x, solarSystem) → RelyOnToGenerate(x, nuclearFusion, light))
∀x (CelestialBody(x) ∧ In(x, solarSystem) ∧ GreaterThan(x, solarMass, 0point08) → Star(x))
∀x (CelestialBody(x) ∧ In(x, solarSystem) ∧ (∃y (OrbitOf(y, x) ∧ Clear(x, y) ∧ DebrisFree(y))) ∧ NearlySphericalShape(x, gravity) → Planet(x))
(CelestialBody(europa) ∧ In(europa, solarSystem) ∧ (∃y (OrbitOf(y, x) ∧ Clear(x, y) ∧ DebrisFree(y))) ∧ NearlySphericalShape(europa, gravity)) ∨ RelyOnToGenerate(europa, nuclearFusion, light) → CelestialBody(europa) ∧ In(europa, solarSystem)","CelestialBody(europa) ∧ In(europa, solarSystem) ∧ (∃y (OrbitOf(y, x) ∧ Clear(x, y) ∧ DebrisFree(y))) ∧ NearlySphericalShape(europa, gravity)
CelestialBody(europa) ∧ In(europa, solarSystem) ∧ GreaterThan(europa, solarMass, 0.08)
¬(CelestialBody(europa) ∧ In(europa, solarSystem) ∧ GreaterThan(europa, solarMass, 0.08))",,
448,"Everyone that knows about breath-first-search knows how to use a queue. 
If someone is a seasoned software engineer interviewer at Google, then they know what breath-first-search is. 
Someone is either a seasoned software engineer interviewer at Google, has human rights, or both. 
Every person who has human rights is entitled to the right to life and liberty. 
Everyone that knows how to use a queue knows about the first-in-first-out data structure. 
Everyone that is entitled to the right to life and liberty cannot be deprived of their rights without due process of law. 
Jack is entitled to the right to life and liberty, has human rights, or knows about the first-in-first-out data structure. ","Jack is a seasoned software engineer interviewer.
Jack cannot be deprived of their rights without due process of law.
Jack can be deprived of their rights without due process of law.","U
T
F","∀x (Know(x, breathFirstSearch) → Know(x, howToUseQueue))
∀x (Seasoned(x) ∧ SoftwareEngineerInterviewer(x) ∧ At(x, google) → Know(x, breathFirstSearch))
∀x ((Seasoned(x) ∧ SoftwareEngineerInterviewer(x) ∧ At(x, google)) ∨ Have(x, humanRights))
∀x (Have(x, humanRights) → EntitledTo(x, rightToLifeAndLiberty))
∀x (Know(x, howToUseQueue) → Know(x, firstInFirstOutDataStructure))
∀x (EntitledTo(x, rightToLifeAndLiberty) → ¬DeprivedOfWithout(x, rights, dueProcessOfLaw))
(EntitledTo(jack, rightToLifeAndLiberty) ∨ Have(jack, humanRights) ∨ Know(jack, firstInFirstOutDataStructure))","Seasoned(jack) ∧ SoftwareEngineerInterviewer(jack) ∧ At(jack, google)
¬DeprivedOfWithout(jack, rights, dueProcessOfLaw)
DeprivedOfWithout(jack, rights, dueProcessOfLaw)",,
449,"Animals who need large territory travel far.
Every animal that eats a lot needs a large territory.
If something is a big animal, then it will eat a lot.
Bears are big animals.
Larry is a big animal.","Larry is a bear.
Larry is not a bear and does not travel far.
If Larry either travels far or needs a large territory, then Larry is a bear.","U
F
T","∀x (Animal(x) ∧ Need(x, largeTerritory) → TravelFar(x))
∀x (EatALot(x) → Need(x, largeTerritory))
∀x (Big(x) ∧ Animal(x) → EatALot(x))
∀x (Bear(x) → Big(x) ∧ Animal(x))
Big(larry) ∧ Animal(larry)","Bear(larry)
¬Bear(larry) ∧ ¬TravelFar(larry)
TravelFar(larry) ⊕ Need(larry, largeTerritory) → Bear(larry)",,
450,"Those who can fly over a vast distance glide in the air. 
Flightless birds cannot fly over a vast distance. 
Penguins are flightless birds. 
Nonflying birds in Antarctica are penguins. 
Fido is a penguin, or flies over a vast distance. ","Fido is a flightless bird
Fido is not a nonflying bird in Antarctica, and he cannot glid in the air.
If Fido either can fly over a vast distance or cannot fly over a vast distance, then Fido is a nonflying bird in Antartica.","U
F
T","∀x (FlyOver(x, vastDistance) → GlideInAir(x))
∀x (Flightless(x) ∧ Bird(x) → ¬FlyOver(x, vastDistance))
∀x (Penguin(x) → Flightless(x) ∧ Bird(x))
∀x (NonFlying(x) ∧ Bird(x) ∧ In(x, antarctica) → Penguin(x))
Penguin(fido) ∨ FlyOver(fido, vastDistance)","Flightless(fido) ∧ Bird(fido)
¬(NonFlying(fido) ∧ Bird(fido) ∧ In(fido, antarctica)) ∧ ¬GlideInAir(fido)
(FlyOver(fido, vastDistance) ⊕ ¬FlyOver(fido, vastDistance)) → (NonFlying(fido) ∧ Bird(fido) ∧ In(fido, antarctica))",,
451,"People on the payroll are being paid by the school.
If someone has a job at a school, then they are on the payroll.
All faculty members have a job at a school.
If someone teaches students, they are a faculty member or a teacher.
Every teacher has students.
If Nancy is a teacher, then they are on the payroll.
If Nancy is not a teacher, then they are not paid by the school.
Nancy teaches students.","Nancy is a faculty member.
Nancy is paid by the school and has students.
Nancy is not paid by the school or does not have students.","U
T
F","∀x (OnPayroll(x) → PaidBy(x, school))
∀x (HaveJobAt(x, school) → OnPayroll(x))
∀x (FacultyMember(x) → HaveJobAt(x, school))
∀x (Teach(x, student) → FacultyMember(x) ∨ Teacher(x))
∀x (Teacher(x) → Have(x, student))
Teacher(nancy) → OnPayroll(nancy)
¬Teacher(nancy) → ¬OnPayroll(nancy)
Teach(nancy, student)","FacultyMember(nancy)
PaidBy(nancy, school) ∧ Have(nancy, student)
¬PaidBy(nancy, school) ∨ ¬Have(nancy, student))",,
452,"All aliens are extraterrestrials.
If someone is from Mars, then they are an alien.
No extraterrestrials are human.
All highly intelligent beings from Earth are humans.
Marvin is a highly intelligent being.
Marvin is either from Earth and from Mars, or he is from neither.
If Marvin is not from Earth, then Marvin is an extraterrestrial.","Marvin is an alien.
Marvin is neither a human nor from Mars.
If Marvin is not from Mars, then Marvin is a human.","U
T
F","∀x (Alien(x) → Extraterrestrial(x))
∀x (From(x, mars) → Alien(x))
∀x (Extraterrestrial(x) → ¬Human(x))
∀x (HighlyIntelligentBeing(x) ∧ From(x, earth) → Human(x))
HighlyIntelligentBeing(marvin)
¬(From(marvin, earth) ⊕ From(marvin, mars))
¬From(marvin, earth) → Extraterrestrial(marvin)","Alien(marvin)
¬Human(marvin) ∧ ¬From(marvin, mars)
¬From(marvin, mars) → Human(marvin)",,
453,"No birds are ectothermic.
All penguins are birds.
An animal is ectothermic or endothermic.
All endothermic animals produce heat within the body.
Ron and Henry are both animals.
Ron is not a bird and does not produce heat with the body. 
Henry is not a cat and does not produce heat with the body. ","Ron is a cat.
Either Henry is a penguin or Henry is endothermic.
Ron is either both a penguin and endothermic, or he is nether.","U
F
T","∀x (Bird(x) → ¬Ectothermic(x))
∀x (Penguin(x) → Bird(x))
∀x (Animal(x) → Ectothermic(x) ∨ Endothermic(x))
∀x (Endothermic(x) → ProduceWithIn(x, heat, body))
Animal(ron) ∧ Animal(henry)
¬Bird(ron) ∧ ¬ProduceWithIn(ron, heat, body)
¬Cat(henry) ∧ ¬ProduceWithIn(henry, heat, body)","Cat(ron)
Penguin(henry) ⊕ Endothermic(henry)
¬(Penguin(ron) ⊕ Endothermic(henry))",,
454,"Functional brainstems are necessary for breath control.
All humans that can swim can control their breath. 
Humans can swim or walk. 
Humans who can walk can stand on the ground by themselves. 
Humans whose brainstems are functional can control their balance.
Every human who can stand on the ground by themselves has functional leg muscles. 
George and Archie are humans.
George can control his balance and can swim.
Archie can walk if and only if he has functional brainstems.","George has functional leg muscles.
Archie has functional leg muscles and can control his balance.
Archie cannot control his balance and doesn't have functional leg muscles.","U
T
F","∀x (CanControl(x, breath) → FunctionalBrainStem(x))
∀x (Human(x) ∧ CanSwim(x) → CanControl(x, breath))
∀x (Human(x) → (CanSwim(x) ∨ CanWalk(x)))
∀x (Human(x) ∧ CanWalk(x) → CanStandOnTheGround(x, themselves))
∀x (Human(x) ∧ FunctionalBrainStem(x) → CanControl(x, balance))
∀x (Human(x) ∧ CanStandOnTheGround(x, themselves) → FunctionalLegMuscle(x)))
Human(george) ∧ Human(archie)
CanControl(george, balance) ∧ CanSwim(george)
¬(CanWalk(archie) ⊕ FunctionalBrainStem(x))
","FunctionalLegMuscle(archie)
FunctionalLegMuscle(archie) ∧ CanControl(archie, balance)
¬CanControl(archie, balance) ∧ ¬FunctionalLegMuscle(x)",,
455,"All philosophers reason. 
Some sophists reason. 
All who can reason can distinguish truth from falsehood.
Nobody who can distinguish truth from falsehood is morally perfect.  
The theistic God is morally perfect.","The theistic God is a sophist.
The theistic God is a sophist and a philosopher.
if the theistic God is a philosopher, then he is not a sophist.","U
F
T","∀x (Philosopher(x) → Reason(x))
∃x (Sophist(x) ∧ Reason(x))
∀x (Reason(x) → CanDistinguishFrom(x, truth, falsehood))
∀x (CanDistinguishFrom(x, truth, falsehood) → ¬MorallyPerfect(x))
MorallyPerfect(theisticGod)","Sophist(theisticGod)
Sophist(theisticGod) ∧ Philosopher(theisticGod)
Philosopher(theisticGod) → ¬Sophist(theisticGod)",,
456,"Some professional basketball players are not American nationals.
All professional basketball players can do jump shots.
If someone can jump shots, they leap straight into the air.
If someone leaps straight into the air, they activate their leg muscles. 
Yuri does not activate his leg muscles.","Yuri is an American national.
Yuri is not an American professional basketball player.
Yuri is an American professional basketball player.
If Yuri does not leap straight into the air, then Yuri is an American professional basketball player.
If Yuri is not an American professional basketball player, then Yuri is a professional basketball player.","U
T
F
F
F","∃x (Professional(x) ∧ BasketballPlayer(x) ∧ ¬AmericanNational(x))
∀x (Professional(x) ∧ BasketballPlayer(x) → CanDo(x, jumpShot))
∀x (CanDo(x, jumpShot) → LeapStraightIntoAir(x))
∀x (LeapStraightIntoAir(x) → Activate(x, legMuscle))
¬Activate(yuri, legMuscle)","AmericanNational(yuri)
¬(AmericanNational(yuri) ∧ Professional(yuri) ∧ BasketballPlayer(yuri))
AmericanNational(yuri) ∧ Professional(yuri) ∧ BasketballPlayer(yuri)
¬LeapStraightIntoAir(yuri) → (AmericanNational(yuri) ∧ Professional(yuri) ∧ BasketballPlayer(yuri))
¬(AmericanNational(yuri) ∧ Professional(yuri) ∧ BasketballPlayer(yuri)) → (Professional(yuri) ∧ BasketballPlayer(yuri))",,
457,"All children are human.
If someone is underage, then they are a child.
People are either underage or of age.
If someone is of age, then they can vote.
If someone is of age, they can legally get married.
If Jack is a child and a human, then Jack is neither able to vote nor get married.","Jack is a human.
Jack is able to vote and get married.
Jack is either able to vote or legally able to get married.","U
T
F","∀x (Child(x) → Human(x))
∀x (Underage(x) → Child(x)) 
∀x (Underage(x) ⊕ OfAge(x))
∀x (OfAge(x) → CanVote(x))
∀x (OfAge(x) → CanGetMarried(x))
Child(jack) ∧ Human(jack) → (¬CanVote(jack) ∧ ¬CanGetMarried(jack))","Human(jack)
CanVote(jack) ∧ CanGetMarried(jack)
CanVote(jack) ⊕ CanGetMarried(jack)",,
458,"Shoes are not food.
All slippers are shoes.
Any object donated to the homeless charity is either clothes or food.
Wearable things are not edible.
All clothes are wearable. 
The watch is donated to the homeless charify.
If the watch is not both edible and a piece of clothing, then the watch is either both edible and a piece of clothing or the watch is neither of them.","A watch is wearable.
A watch is a slipper.
A watch is neither edible nor a slipper.","U
F
T","∀x (Shoe(x) → ¬Food(x))
∀x (Slipper(x) → Shoe(x))
∀x (DonatedTo(x, homelessCharity) → Food(x) ⊕ Clothes(x))
∀x (Wearable(x) → ¬Edible(x))
∀x (Clothes(x) → Wearable(x))
DonatedTo(watch, homelessCharify)
¬(Edible(watch) ∧ Clothes(watch)) → ¬(Edible(watch) ⊕ Clothes(watch))","Wearable(watch)
Slipper(watch)
¬Edible(watch) ∧ ¬Slipper(watch)",,
459,"Jane does not like any animals that bark.
All dogs are animals that bark.
Jane likes all animals that jump.
If an animal has legs, then it jumps.
If an animal is terricolous, then it has legs. 
KiKi is an animal.
If KiKi neither jumps nor has legs, then KiKi is terricolous or has legs.","KiKi is terricolous.
KiKi is a barking dog.
KiKi does not bark and he is not a dog.","U
F
T","∀x (Animal(x) ∧ Bark(x) → ¬Like(jane, x))
∀x (Dog(x) → Animal(x) ∧ Bark(x))
∀x (Animal(x) ∧ Jump(x) → Like(jane, x))
∀x (∃y ∃z (¬(y=z) ∧ Leg(y) ∧ Leg(z) ∧ Have(x, y) ∧ Have(x, z)) → Jump(x))
∀x (Terricolous(x) → ∃y ∃z (¬(y=z) ∧ Leg(y) ∧ Leg(z) ∧ Have(x, y) ∧ Have(x, z)))
Animal(kiki)
¬Jump(kiki) ∧ ¬(∃y ∃z (¬(y=z) ∧ Leg(y) ∧ Leg(z) ∧ Have(kiki, y) ∧ Have(kiki, z))) → Terricolous(kiki) ∨ ∃y ∃z (¬(y=z) ∧ Leg(y) ∧ Leg(z) ∧ Have(kiki, y) ∧ Have(kiki, z))","Terricolous(kiki)
Bark(kiki) ∧ Dog(kiki)
¬Bark(kiki) ∧ ¬Dog(kiki)",,
460,"If a film is appropriate for people of all ages, then children can watch it without guidance from parents.
If a film contains excessive erotic and violent content, children cannot watch it without guidance from their parents.
If a film is rated General Audience, then it is appropriate for people of all ages.
All family-friendly animated films are rated General Audience.
All movies in the Frozen series are family-friendly animated films.
“Hachi: A dog’s Tale” is a film.
“Hachi: A dog’s Tale”  is either a family-friendly animated film or is appropriate for people of all ages. ","""Hachi: A dog's Tale"" is rated General Audience.
""Hachi: A dog's Tale"" contains excessive erotic and violent content or is in the ""Frozen"" series or both. 
""Hachi: A dog's Tale"" either contains excessive erotic and violent content and is a film in the ""Frozen"" series, or it neither contains excessive erotic and violent content nor is a film in the ""Frozen"" series. ","U
F
T","∀x (Film(x) ∧ Rated(x, adultsOnly) → CanWatchWithout(children, x, guidanceFromParents))
∀x (Film(x) ∧ Contain(x, excessiveEroticContent) ∧ Contain(x, excessiveViolentContent) → ¬CanWatchWithout(children, x, guidanceFromParents))
∀x (Film(x) ∧ Rated(x, generalAudience) → AppropriateFor(x, peopleOfAllAges))
∀x (Film(x) ∧ FamilyFriendly(x) ∧ Animated(x) → Rated(x, generalAudience))
∀x (Film(x) ∧ InfrozenSeries(x) → FamilyFriendly(x) ∧ Animated(x))
Film(hachiAdogsTale)
(FamilyFriendly(hachiAdogsTale) ∧ Animated(hachiAdogsTale)) ⊕ Rated(hachiAdogsTale, adultsOnly)","Rated(x, generalAudience)
(Contain(x, excessiveEroticContent) ∧ Contain(x, excessiveViolentContent)) ∨ InfrozenSeries(excessiveViolentContent)
¬((Contain(x, excessiveEroticContent) ∧ Contain(x, excessiveViolentContent)) ⊕ InfrozenSeries(excessiveViolentContent))",,
